description;population;start_date;end_date;location;zones;annee_scolaire
Vacances d'Hiver;-;2010-02-22T00:00:00+01:00;2010-03-08T00:00:00+01:00;Corse;Corse;2009-2010
Vacances de Noël;-;2010-12-20T00:00:00+01:00;2011-01-03T00:00:00+01:00;Corse;Corse;2010-2011
Vacances d'Été;Enseignants;2011-07-06T00:00:00+02:00;2011-09-08T00:00:00+02:00;Corse;Corse;2010-2011
Vacances d'Hiver;-;2012-02-20T00:00:00+01:00;2012-03-05T00:00:00+01:00;Corse;Corse;2011-2012
Vacances de Noël;-;2012-12-24T00:00:00+01:00;2013-01-07T00:00:00+01:00;Corse;Corse;2012-2013
Vacances de la Toussaint;-;2014-10-19T00:00:00+02:00;2014-11-03T00:00:00+01:00;Corse;Corse;2014-2015
Vacances d'Été;Élèves;2015-07-09T00:00:00+02:00;2015-09-03T00:00:00+02:00;Corse;Corse;2014-2015
Vacances de la Toussaint;-;2015-10-18T00:00:00+02:00;2015-11-02T00:00:00+01:00;Corse;Corse;2015-2016
Vacances de Printemps;-;2016-04-24T00:00:00+02:00;2016-05-09T00:00:00+02:00;Corse;Corse;2015-2016
Vacances de Noël;-;2016-12-18T00:00:00+01:00;2017-01-03T00:00:00+01:00;Corse;Corse;2016-2017
Vacances d'Hiver;-;2017-02-19T00:00:00+01:00;2017-03-06T00:00:00+01:00;Corse;Corse;2016-2017
Vacances de la Toussaint;-;2017-10-21T00:00:00+02:00;2017-11-06T00:00:00+01:00;Caen;Zone B;2017-2018
Vacances de la Toussaint;-;2017-10-21T00:00:00+02:00;2017-11-06T00:00:00+01:00;Nantes;Zone B;2017-2018
Vacances de la Toussaint;-;2017-10-21T00:00:00+02:00;2017-11-06T00:00:00+01:00;Rouen;Zone B;2017-2018
Vacances de la Toussaint;-;2017-10-21T00:00:00+02:00;2017-11-06T00:00:00+01:00;Guyane;Guyane;2017-2018
Vacances de Noël;-;2017-12-09T00:00:00+01:00;2018-01-08T00:00:00+01:00;Mayotte;Mayotte;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Clermont-Ferrand;Zone A;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Poitiers;Zone A;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Orléans-Tours;Zone B;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Reims;Zone B;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Rouen;Zone B;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Créteil;Zone C;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Montpellier;Zone C;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Paris;Zone C;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Toulouse;Zone C;2017-2018
Vacances de Noël;-;2017-12-23T00:00:00+01:00;2018-01-08T00:00:00+01:00;Versailles;Zone C;2017-2018
Vacances d'Été austral;-;2018-11-12T00:00:00+01:00;2020-05-01T01:00:00+02:00;Réunion;Réunion;2017-2018
Vacances d'Hiver;-;2018-02-17T00:00:00+01:00;2018-03-05T00:00:00+01:00;Montpellier;Zone C;2017-2018
Vacances d'Hiver;-;2018-02-24T00:00:00+01:00;2018-03-12T00:00:00+01:00;Rennes;Zone B;2017-2018
Vacances d'Hiver;-;2018-02-24T00:00:00+01:00;2018-03-12T00:00:00+01:00;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2017-2018
Vacances après 3ème période;-;2018-03-10T00:00:00+01:00;2018-03-26T00:00:00+02:00;Réunion;Réunion;2017-2018
Vacances de Printemps;-;2018-04-14T00:00:00+02:00;2018-04-30T00:00:00+02:00;Créteil;Zone C;2017-2018
Vacances de Printemps;-;2018-04-21T00:00:00+02:00;2018-05-07T00:00:00+02:00;Lille;Zone B;2017-2018
Vacances de Printemps;-;2018-04-21T00:00:00+02:00;2018-05-07T00:00:00+02:00;Rouen;Zone B;2017-2018
Vacances de Printemps;-;2018-04-28T00:00:00+02:00;2018-05-14T00:00:00+02:00;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2017-2018
Vacances d'Été;Enseignants;2018-06-30T00:00:00+02:00;2018-09-06T00:00:00+02:00;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2017-2018
Grandes Vacances;Élèves du second degré;2018-07-07T00:00:00+02:00;2018-08-17T00:00:00+02:00;Polynésie;Polynésie;2017-2018
Vacances d'Été;Élèves;2018-07-07T00:00:00+02:00;2018-09-03T00:00:00+02:00;Bordeaux;Zone A;2017-2018
Vacances d'Été;Élèves;2018-07-07T00:00:00+02:00;2018-09-03T00:00:00+02:00;Clermont-Ferrand;Zone A;2017-2018
Vacances d'Été;Enseignants;2018-07-07T00:00:00+02:00;2018-08-31T00:00:00+02:00;Aix-Marseille;Zone B;2017-2018
Vacances d'Été;Élèves;2018-07-07T00:00:00+02:00;2018-09-03T00:00:00+02:00;Nice;Zone B;2017-2018
Vacances d'Été;Enseignants;2018-07-07T00:00:00+02:00;2018-08-31T00:00:00+02:00;Orléans-Tours;Zone B;2017-2018
Vacances d'Été;Élèves;2018-07-07T00:00:00+02:00;2018-09-03T00:00:00+02:00;Rennes;Zone B;2017-2018
Vacances d'Été;Enseignants;2018-07-07T00:00:00+02:00;2018-08-31T00:00:00+02:00;Rennes;Zone B;2017-2018
Vacances d'Été;Élèves;2018-07-07T00:00:00+02:00;2018-09-03T00:00:00+02:00;Rouen;Zone B;2017-2018
Vacances d'Été;Élèves;2018-07-07T00:00:00+02:00;2018-09-03T00:00:00+02:00;Créteil;Zone C;2017-2018
Vacances d'Été;Élèves;2018-07-07T00:00:00+02:00;2018-09-03T00:00:00+02:00;Martinique;Martinique;2017-2018
Grandes Vacances;Enseignants du premier degré;2018-07-06T00:00:00+02:00;2018-08-13T00:00:00+02:00;Polynésie;Polynésie;2017-2018
Vacances d'Été;Élèves du second degré;2018-07-10T00:00:00+02:00;2018-09-06T00:00:00+02:00;Corse;Corse;2017-2018
Vacances 3ème période;-;2018-08-11T00:00:00+02:00;2018-08-26T00:00:00+02:00;Nouvelle Calédonie;Nouvelle Calédonie;2018
Vacances de la Toussaint;-;2018-10-06T00:00:00+02:00;2018-10-22T00:00:00+02:00;Mayotte;Mayotte;2018-2019
Vacances de la Toussaint;-;2018-10-20T00:00:00+02:00;2018-11-05T00:00:00+01:00;Clermont-Ferrand;Zone A;2018-2019
Vacances de la Toussaint;-;2018-10-20T00:00:00+02:00;2018-11-05T00:00:00+01:00;Limoges;Zone A;2018-2019
Vacances de la Toussaint;-;2018-10-20T00:00:00+02:00;2018-11-05T00:00:00+01:00;Poitiers;Zone A;2018-2019
Vacances de la Toussaint;-;2018-10-20T00:00:00+02:00;2018-11-05T00:00:00+01:00;Aix-Marseille;Zone B;2018-2019
Vacances de la Toussaint;-;2018-10-20T00:00:00+02:00;2018-11-05T00:00:00+01:00;Orléans-Tours;Zone B;2018-2019
Vacances de la Toussaint;-;2018-10-20T00:00:00+02:00;2018-11-05T00:00:00+01:00;Versailles;Zone C;2018-2019
Vacances de la Toussaint;-;2018-10-24T00:00:00+02:00;2018-11-05T00:00:00+01:00;Corse;Corse;2018-2019
Vacances de Noël;-;2018-12-22T00:00:00+01:00;2019-01-07T00:00:00+01:00;Bordeaux;Zone A;2018-2019
Vacances de Noël;-;2018-12-22T00:00:00+01:00;2019-01-07T00:00:00+01:00;Clermont-Ferrand;Zone A;2018-2019
Vacances de Noël;-;2018-12-22T00:00:00+01:00;2019-01-07T00:00:00+01:00;Lille;Zone B;2018-2019
Vacances de Noël;-;2018-12-22T00:00:00+01:00;2019-01-07T00:00:00+01:00;Orléans-Tours;Zone B;2018-2019
Vacances de Noël;-;2018-12-22T00:00:00+01:00;2019-01-07T00:00:00+01:00;Montpellier;Zone C;2018-2019
Vacances de Noël;-;2018-12-22T00:00:00+01:00;2019-01-07T00:00:00+01:00;Paris;Zone C;2018-2019
Vacances de Noël;-;2018-12-22T00:00:00+01:00;2019-01-07T00:00:00+01:00;Toulouse;Zone C;2018-2019
Vacances d'Hiver;-;2019-02-09T00:00:00+01:00;2019-02-25T00:00:00+01:00;Amiens;Zone B;2018-2019
Vacances d'Hiver;-;2019-02-09T00:00:00+01:00;2019-02-25T00:00:00+01:00;Nantes;Zone B;2018-2019
Vacances d'Hiver;-;2019-02-09T00:00:00+01:00;2019-02-25T00:00:00+01:00;Rennes;Zone B;2018-2019
Vacances d'Hiver;-;2019-02-15T00:00:00+01:00;2019-03-04T00:00:00+01:00;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2018-2019
Vacances d'Hiver;-;2019-02-16T00:00:00+01:00;2019-03-04T00:00:00+01:00;Limoges;Zone A;2018-2019
Vacances d'Hiver;-;2019-02-23T00:00:00+01:00;2019-03-11T00:00:00+01:00;Créteil;Zone C;2018-2019
Vacances de Carnaval;-;2019-02-23T00:00:00+01:00;2019-03-11T00:00:00+01:00;Guyane;Guyane;2018-2019
Vacances de Carnaval;-;2019-02-23T00:00:00+01:00;2019-03-11T00:00:00+01:00;Martinique;Martinique;2018-2019
Vacances d'Hiver;-;2019-02-25T00:00:00+01:00;2019-03-11T00:00:00+01:00;Corse;Corse;2018-2019
Vacances de Printemps;-;2019-04-06T00:00:00+02:00;2019-04-23T00:00:00+02:00;Reims;Zone B;2018-2019
Vacances de Printemps;-;2019-04-06T00:00:00+02:00;2019-04-23T00:00:00+02:00;Rennes;Zone B;2018-2019
Vacances de Printemps;-;2019-04-13T00:00:00+02:00;2019-04-29T00:00:00+02:00;Besançon;Zone A;2018-2019
Vacances de Printemps;-;2019-04-13T00:00:00+02:00;2019-04-29T00:00:00+02:00;Bordeaux;Zone A;2018-2019
Vacances de Printemps;-;2019-04-13T00:00:00+02:00;2019-04-29T00:00:00+02:00;Poitiers;Zone A;2018-2019
Vacances de Printemps;-;2019-04-20T00:00:00+02:00;2019-05-06T00:00:00+02:00;Versailles;Zone C;2018-2019
Vacances de Printemps;-;2019-04-26T00:00:00+02:00;2019-05-06T00:00:00+02:00;Mayotte;Mayotte;2018-2019
Pont de l'Ascension;-;2019-05-29T00:00:00+02:00;2019-06-03T00:00:00+02:00;Nice;Zone B;2018-2019
Pont de l'Ascension;-;2019-05-29T00:00:00+02:00;2019-06-03T00:00:00+02:00;Créteil;Zone C;2018-2019
Pont de l'Ascension;-;2019-05-29T00:00:00+02:00;2019-06-03T00:00:00+02:00;Versailles;Zone C;2018-2019
Vacances d'Été;Élèves;2019-07-03T00:00:00+02:00;2019-09-05T00:00:00+02:00;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Dijon;Zone A;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Amiens;Zone B;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Orléans-Tours;Zone B;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Rennes;Zone B;2018-2019
Vacances d'Été;Élèves;2019-07-06T00:00:00+02:00;2019-09-02T00:00:00+02:00;Strasbourg;Zone B;2018-2019
Vacances d'Été;Élèves;2019-07-06T00:00:00+02:00;2019-09-02T00:00:00+02:00;Créteil;Zone C;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Créteil;Zone C;2018-2019
Vacances d'Été;Élèves;2019-07-06T00:00:00+02:00;2019-09-02T00:00:00+02:00;Montpellier;Zone C;2018-2019
Vacances d'Été;Élèves;2019-07-06T00:00:00+02:00;2019-09-02T00:00:00+02:00;Toulouse;Zone C;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Versailles;Zone C;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Martinique;Martinique;2018-2019
Vacances d'Été;Élèves;2019-07-08T00:00:00+02:00;2019-09-03T00:00:00+02:00;Corse;Corse;2018-2019
Vacances d'Été;Élèves;2019-07-08T00:00:00+02:00;2019-09-02T00:00:00+02:00;Guyane;Guyane;2018-2019
Vacances 3ème période;-;2019-08-10T00:00:00+02:00;2019-08-25T00:00:00+02:00;Nouvelle Calédonie;Nouvelle Calédonie;2019
Vacances 3ème période;-;2019-08-10T00:00:00+02:00;2019-08-26T00:00:00+02:00;Wallis et Futuna;Wallis et Futuna;2019
Abolition de l’esclavage;Saint-Barthélémy;2019-10-09T00:00:00+02:00;2019-10-09T00:00:00+02:00;Guadeloupe;Guadeloupe;2019-2020
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Bordeaux;Zone A;2019-2020
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Lyon;Zone A;2019-2020
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Versailles;Zone C;2019-2020
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Guyane;Guyane;2019-2020
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Martinique;Martinique;2019-2020
Vacances de Noël;-;2019-12-14T00:00:00+01:00;2020-01-13T00:00:00+01:00;Mayotte;Mayotte;2019-2020
Vacances d'Été;Enseignants;2019-12-14T00:00:00+01:00;2020-02-17T00:00:00+01:00;Nouvelle Calédonie;Nouvelle Calédonie;2019
Vacances de Noël;-;2019-12-21T00:00:00+01:00;2020-01-06T00:00:00+01:00;Dijon;Zone A;2019-2020
Vacances de Noël;-;2019-12-21T00:00:00+01:00;2020-01-06T00:00:00+01:00;Lille;Zone B;2019-2020
Vacances de Noël;-;2019-12-21T00:00:00+01:00;2020-01-06T00:00:00+01:00;Corse;Corse;2019-2020
Vacances d'Hiver;-;2020-02-08T00:00:00+01:00;2020-02-24T00:00:00+01:00;Montpellier;Zone C;2019-2020
Vacances d'Hiver;-;2020-02-08T00:00:00+01:00;2020-02-24T00:00:00+01:00;Toulouse;Zone C;2019-2020
Vacances d'Hiver;-;2020-02-15T00:00:00+01:00;2020-03-02T00:00:00+01:00;Nancy-Metz;Zone B;2019-2020
Vacances d'Hiver;-;2020-02-15T00:00:00+01:00;2020-03-02T00:00:00+01:00;Nice;Zone B;2019-2020
Vacances d'Hiver;-;2020-02-15T00:00:00+01:00;2020-03-02T00:00:00+01:00;Corse;Corse;2019-2020
Vacances d'Hiver;-;2020-02-22T00:00:00+01:00;2020-03-09T00:00:00+01:00;Besançon;Zone A;2019-2020
Vacances après 3ème période;-;2020-03-07T00:00:00+01:00;2020-03-23T00:00:00+01:00;Réunion;Réunion;2019-2020
Vacances de Printemps;-;2020-04-04T00:00:00+02:00;2020-04-20T00:00:00+02:00;Martinique;Martinique;2019-2020
Vacances de Printemps;-;2020-04-09T00:00:00+02:00;2020-04-27T00:00:00+02:00;Guyane;Guyane;2019-2020
Vacances de Printemps;-;2020-04-11T00:00:00+02:00;2020-04-27T00:00:00+02:00;Aix-Marseille;Zone B;2019-2020
Vacances de Printemps;-;2020-04-11T00:00:00+02:00;2020-04-27T00:00:00+02:00;Strasbourg;Zone B;2019-2020
Vacances de Printemps;-;2020-04-18T00:00:00+02:00;2020-05-04T00:00:00+02:00;Lyon;Zone A;2019-2020
Vacances de Printemps;-;2020-04-18T00:00:00+02:00;2020-05-04T00:00:00+02:00;Corse;Corse;2019-2020
Vacances de Printemps;-;2020-05-02T00:00:00+02:00;2020-05-11T00:00:00+02:00;Mayotte;Mayotte;2019-2020
Pont de l'Ascension;-;2020-05-20T00:00:00+02:00;2020-05-25T00:00:00+02:00;Dijon;Zone A;2019-2020
Pont de l'Ascension;-;2020-05-20T00:00:00+02:00;2020-05-25T00:00:00+02:00;Lille;Zone B;2019-2020
Pont de l'Ascension;-;2020-05-20T00:00:00+02:00;2020-05-25T00:00:00+02:00;Orléans-Tours;Zone B;2019-2020
Pont de l'Ascension;-;2020-05-20T00:00:00+02:00;2020-05-25T00:00:00+02:00;Rennes;Zone B;2019-2020
Pont de l'Ascension;-;2020-05-20T00:00:00+02:00;2020-05-25T00:00:00+02:00;Créteil;Zone C;2019-2020
Pont de l'Ascension;-;2020-05-20T00:00:00+02:00;2020-05-25T00:00:00+02:00;Paris;Zone C;2019-2020
Vacances d'Été;-;2020-07-04T00:00:00+02:00;2020-09-01T00:00:00+02:00;Poitiers;Zone A;2019-2020
Vacances d'Été;-;2020-07-04T00:00:00+02:00;2020-09-01T00:00:00+02:00;Rennes;Zone B;2019-2020
Vacances d'Été;Élèves;2020-07-04T00:00:00+02:00;2020-09-03T00:00:00+02:00;Corse;Corse;2019-2020
Vacances de Septembre;-;2020-09-12T00:00:00+02:00;2020-09-21T00:00:00+02:00;Polynésie;Polynésie;2020-2021
Vacances après 1ère période;-;2020-10-10T00:00:00+02:00;2020-10-26T00:00:00+01:00;Réunion;Réunion;2020-2021
Vacances de la Toussaint;-;2020-10-17T00:00:00+02:00;2020-11-02T00:00:00+01:00;Clermont-Ferrand;Zone A;2020-2021
Vacances de la Toussaint;-;2020-10-17T00:00:00+02:00;2020-11-02T00:00:00+01:00;Limoges;Zone A;2020-2021
Vacances de la Toussaint;-;2020-10-17T00:00:00+02:00;2020-11-02T00:00:00+01:00;Lille;Zone B;2020-2021
Vacances de la Toussaint;-;2020-10-17T00:00:00+02:00;2020-11-02T00:00:00+01:00;Orléans-Tours;Zone B;2020-2021
Vacances de Noël;-;2020-12-19T00:00:00+01:00;2021-01-04T00:00:00+01:00;Besançon;Zone A;2020-2021
Vacances de Noël;-;2020-12-19T00:00:00+01:00;2021-01-04T00:00:00+01:00;Limoges;Zone A;2020-2021
Vacances de Noël;-;2020-12-19T00:00:00+01:00;2021-01-04T00:00:00+01:00;Normandie;Zone B;2020-2021
Vacances de Noël;-;2020-12-19T00:00:00+01:00;2021-01-04T00:00:00+01:00;Lille;Zone B;2020-2021
Vacances de Noël;-;2020-12-19T00:00:00+01:00;2021-01-04T00:00:00+01:00;Paris;Zone C;2020-2021
Vacances de Noël;-;2020-12-19T00:00:00+01:00;2021-01-04T00:00:00+01:00;Toulouse;Zone C;2020-2021
Vacances d'Été austral;-;2020-12-19T00:00:00+01:00;2021-01-25T00:00:00+01:00;Réunion;Réunion;2020-2021
Vacances d'Hiver;-;2021-02-13T00:00:00+01:00;2021-03-01T00:00:00+01:00;Montpellier;Zone C;2020-2021
Vacances d'Hiver;-;2021-02-13T00:00:00+01:00;2021-03-01T00:00:00+01:00;Toulouse;Zone C;2020-2021
Vacances d'Hiver;-;2021-02-20T00:00:00+01:00;2021-03-08T00:00:00+01:00;Normandie;Zone B;2020-2021
Vacances d'Hiver;-;2021-02-20T00:00:00+01:00;2021-03-08T00:00:00+01:00;Orléans-Tours;Zone B;2020-2021
Vacances après 3ème période;-;2021-03-06T00:00:00+01:00;2021-03-22T00:00:00+01:00;Réunion;Réunion;2020-2021
Vacances de Printemps;-;2021-04-10T00:00:00+02:00;2021-04-26T00:00:00+02:00;Clermont-Ferrand;Zone A;2020-2021
Vacances de Printemps;-;2021-04-10T00:00:00+02:00;2021-04-26T00:00:00+02:00;Lyon;Zone A;2020-2021
Vacances de Printemps;-;2021-04-10T00:00:00+02:00;2021-04-26T00:00:00+02:00;Montpellier;Zone C;2020-2021
Vacances de Printemps;-;2021-04-10T00:00:00+02:00;2021-04-26T00:00:00+02:00;Toulouse;Zone C;2020-2021
Vacances de Printemps;-;2021-04-10T00:00:00+02:00;2021-04-26T00:00:00+02:00;Versailles;Zone C;2020-2021
Vacances de Printemps;-;2021-04-10T00:00:00+02:00;2021-04-26T00:00:00+02:00;Normandie;Zone B;2020-2021
Vacances de Printemps;-;2021-04-10T00:00:00+02:00;2021-04-26T00:00:00+02:00;Nancy-Metz;Zone B;2020-2021
Vacances de Printemps;-;2021-04-10T00:00:00+02:00;2021-04-26T00:00:00+02:00;Nantes;Zone B;2020-2021
Vacances de Printemps;-;2021-04-10T00:00:00+02:00;2021-04-26T00:00:00+02:00;Rennes;Zone B;2020-2021
Pont de l'Ascension;-;2021-05-13T00:00:00+02:00;2021-05-17T00:00:00+02:00;Nantes;Zone B;2020-2021
Pont de l'Ascension;-;2021-05-13T00:00:00+02:00;2021-05-17T00:00:00+02:00;Rennes;Zone B;2020-2021
Pont de l'Ascension;-;2021-05-13T00:00:00+02:00;2021-05-17T00:00:00+02:00;Versailles;Zone C;2020-2021
Vacances de Mai;Premier degré et collèges;2021-05-22T00:00:00+02:00;2021-05-31T00:00:00+02:00;Polynésie;Polynésie;2020-2021
Vacances 2ème période;-;2021-06-05T00:00:00+02:00;2021-06-20T00:00:00+02:00;Nouvelle Calédonie;Nouvelle Calédonie;2021
Grandes Vacances;Enseignants des lycées;2021-06-26T00:00:00+02:00;2021-08-09T00:00:00+02:00;Polynésie;Polynésie;2020-2021
Grandes Vacances;Enseignants des collèges;2021-07-03T00:00:00+02:00;2021-08-09T00:00:00+02:00;Polynésie;Polynésie;2020-2021
Grandes Vacances;Élèves des collèges;2021-07-03T00:00:00+02:00;2021-08-10T00:00:00+02:00;Polynésie;Polynésie;2020-2021
Vacances d'Été;Enseignants;2021-07-06T00:00:00+02:00;2021-09-01T00:00:00+02:00;Dijon;Zone A;2020-2021
Vacances d'Été;Enseignants;2021-07-06T00:00:00+02:00;2021-09-01T00:00:00+02:00;Lyon;Zone A;2020-2021
Vacances d'Été;Enseignants;2021-07-06T00:00:00+02:00;2021-09-01T00:00:00+02:00;Rennes;Zone B;2020-2021
Vacances d'Été;Enseignants;2021-07-06T00:00:00+02:00;2021-09-01T00:00:00+02:00;Créteil;Zone C;2020-2021
Vacances d'Été;Enseignants;2021-07-06T00:00:00+02:00;2021-09-01T00:00:00+02:00;Versailles;Zone C;2020-2021
Vacances d'Été;Élèves;2021-07-06T00:00:00+02:00;2021-09-02T00:00:00+02:00;Besançon;Zone A;2020-2021
Vacances d'Été;Élèves;2021-07-06T00:00:00+02:00;2021-09-02T00:00:00+02:00;Clermont-Ferrand;Zone A;2020-2021
Vacances d'Été;Élèves;2021-07-06T00:00:00+02:00;2021-09-02T00:00:00+02:00;Limoges;Zone A;2020-2021
Vacances d'Été;Élèves;2021-07-06T00:00:00+02:00;2021-09-02T00:00:00+02:00;Lyon;Zone A;2020-2021
Vacances d'Été;Élèves;2021-07-06T00:00:00+02:00;2021-09-02T00:00:00+02:00;Poitiers;Zone A;2020-2021
Vacances d'Été;Élèves;2021-07-06T00:00:00+02:00;2021-09-02T00:00:00+02:00;Aix-Marseille;Zone B;2020-2021
Vacances d'Été;Élèves;2021-07-06T00:00:00+02:00;2021-09-02T00:00:00+02:00;Nancy-Metz;Zone B;2020-2021
Vacances d'Été;Élèves;2021-07-06T00:00:00+02:00;2021-09-02T00:00:00+02:00;Strasbourg;Zone B;2020-2021
Vacances d'Été;Élèves;2021-07-06T00:00:00+02:00;2021-09-02T00:00:00+02:00;Montpellier;Zone C;2020-2021
Vacances d'Été;Élèves;2021-07-06T00:00:00+02:00;2021-09-02T00:00:00+02:00;Paris;Zone C;2020-2021
Vacances d'Été;Élèves;2021-07-06T00:00:00+02:00;2021-09-02T00:00:00+02:00;Versailles;Zone C;2020-2021
Vacances d'Été;Élèves;2021-07-08T00:00:00+02:00;2021-09-03T00:00:00+02:00;Corse;Corse;2020-2021
Vacances 4ème période;-;2021-09-25T00:00:00+02:00;2021-10-10T00:00:00+02:00;Nouvelle Calédonie;Nouvelle Calédonie;2021
Vacances d'Été;Enseignants;2021-12-11T00:00:00+01:00;2022-02-11T00:00:00+01:00;Nouvelle Calédonie;Nouvelle Calédonie;2021
Vacances d'Hiver;-;2022-02-12T00:00:00+01:00;2022-02-28T00:00:00+01:00;Bordeaux;Zone A;2021-2022
Vacances d'Hiver;-;2022-02-12T00:00:00+01:00;2022-02-28T00:00:00+01:00;Grenoble;Zone A;2021-2022
Vacances d'Hiver;-;2022-02-12T00:00:00+01:00;2022-02-28T00:00:00+01:00;Lyon;Zone A;2021-2022
Vacances de Printemps;-;2022-04-16T00:00:00+02:00;2022-05-02T00:00:00+02:00;Dijon;Zone A;2021-2022
Vacances de Printemps;-;2022-04-16T00:00:00+02:00;2022-05-02T00:00:00+02:00;Grenoble;Zone A;2021-2022
Vacances de Pâques;-;2023-04-01T00:00:00+02:00;2023-04-17T00:00:00+02:00;Polynésie;Polynésie;2022-2023
Début des Grandes Vacances;Premier degré;2023-06-30T00:00:00+02:00;2023-06-30T00:00:00+02:00;Polynésie;Polynésie;2022-2023
Vacances de la Toussaint;-;2021-10-23T00:00:00+02:00;2021-11-08T00:00:00+01:00;Lyon;Zone A;2021-2022
Vacances de la Toussaint;-;2021-10-23T00:00:00+02:00;2021-11-08T00:00:00+01:00;Amiens;Zone B;2021-2022
Vacances de la Toussaint;-;2021-10-23T00:00:00+02:00;2021-11-08T00:00:00+01:00;Orléans-Tours;Zone B;2021-2022
Vacances de la Toussaint;-;2021-10-23T00:00:00+02:00;2021-11-08T00:00:00+01:00;Reims;Zone B;2021-2022
Vacances de la Toussaint;-;2021-10-23T00:00:00+02:00;2021-11-08T00:00:00+01:00;Rennes;Zone B;2021-2022
Vacances de la Toussaint;-;2021-10-23T00:00:00+02:00;2021-11-08T00:00:00+01:00;Strasbourg;Zone B;2021-2022
Vacances de la Toussaint;-;2021-10-23T00:00:00+02:00;2021-11-08T00:00:00+01:00;Créteil;Zone C;2021-2022
Vacances de Noël;-;2021-12-18T00:00:00+01:00;2022-01-03T00:00:00+01:00;Clermont-Ferrand;Zone A;2021-2022
Vacances de Noël;-;2021-12-18T00:00:00+01:00;2022-01-03T00:00:00+01:00;Poitiers;Zone A;2021-2022
Vacances de Noël;-;2021-12-18T00:00:00+01:00;2022-01-03T00:00:00+01:00;Normandie;Zone B;2021-2022
Vacances de Noël;-;2021-12-18T00:00:00+01:00;2022-01-03T00:00:00+01:00;Orléans-Tours;Zone B;2021-2022
Vacances d'Hiver;-;2022-02-05T00:00:00+01:00;2022-02-21T00:00:00+01:00;Nantes;Zone B;2021-2022
Vacances d'Hiver;-;2022-02-05T00:00:00+01:00;2022-02-21T00:00:00+01:00;Reims;Zone B;2021-2022
Vacances de Printemps;-;2022-04-09T00:00:00+02:00;2022-04-25T00:00:00+02:00;Nice;Zone B;2021-2022
Vacances de Printemps;-;2022-04-09T00:00:00+02:00;2022-04-25T00:00:00+02:00;Strasbourg;Zone B;2021-2022
Vacances d'Hiver;-;2022-02-19T00:00:00+01:00;2022-03-07T00:00:00+01:00;Montpellier;Zone C;2021-2022
Vacances de Printemps;-;2022-04-23T00:00:00+02:00;2022-05-09T00:00:00+02:00;Versailles;Zone C;2021-2022
Vacances 3ème période;-;2022-08-06T00:00:00+02:00;2022-08-21T00:00:00+02:00;Nouvelle Calédonie;Nouvelle Calédonie;2022
Vacances 4ème période;-;2022-10-08T00:00:00+02:00;2022-10-23T00:00:00+02:00;Nouvelle Calédonie;Nouvelle Calédonie;2022
Vacances de Février;-;2022-02-19T00:00:00+01:00;2022-02-28T00:00:00+01:00;Polynésie;Polynésie;2021-2022
Vacances de Pâques;-;2022-04-02T00:00:00+02:00;2022-04-19T00:00:00+02:00;Polynésie;Polynésie;2021-2022
