description;population;start_date;end_date;location;zones;annee_scolaire
Vacances de Printemps;-;2018-04-14T00:00:00+02:00;2018-04-30T00:00:00+02:00;Versailles;Zone C;2017-2018
Vacances de Printemps;-;2018-04-21T00:00:00+02:00;2018-05-07T00:00:00+02:00;Aix-Marseille;Zone B;2017-2018
Vacances de Printemps;-;2018-04-21T00:00:00+02:00;2018-05-07T00:00:00+02:00;Nice;Zone B;2017-2018
Vacances de Printemps;-;2018-05-05T00:00:00+02:00;2018-05-14T00:00:00+02:00;Mayotte;Mayotte;2017-2018
Grandes Vacances;Élèves du premier degré;2018-07-05T00:00:00+02:00;2018-08-16T00:00:00+02:00;Polynésie;Polynésie;2017-2018
Vacances d'Été;Enseignants;2018-07-07T00:00:00+02:00;2018-08-31T00:00:00+02:00;Bordeaux;Zone A;2017-2018
Vacances d'Été;Enseignants;2018-07-07T00:00:00+02:00;2018-08-31T00:00:00+02:00;Dijon;Zone A;2017-2018
Vacances d'Été;Élèves;2018-07-07T00:00:00+02:00;2018-09-03T00:00:00+02:00;Limoges;Zone A;2017-2018
Vacances d'Été;Enseignants;2018-07-07T00:00:00+02:00;2018-08-31T00:00:00+02:00;Limoges;Zone A;2017-2018
Vacances d'Été;Enseignants;2018-07-07T00:00:00+02:00;2018-08-31T00:00:00+02:00;Lyon;Zone A;2017-2018
Vacances d'Été;Enseignants;2018-07-07T00:00:00+02:00;2018-08-31T00:00:00+02:00;Poitiers;Zone A;2017-2018
Vacances d'Été;Élèves;2018-07-07T00:00:00+02:00;2018-09-03T00:00:00+02:00;Amiens;Zone B;2017-2018
Vacances d'Été;Enseignants;2018-07-07T00:00:00+02:00;2018-08-31T00:00:00+02:00;Amiens;Zone B;2017-2018
Vacances d'Été;Élèves;2018-07-07T00:00:00+02:00;2018-09-03T00:00:00+02:00;Orléans-Tours;Zone B;2017-2018
Vacances d'Été;Enseignants;2018-07-07T00:00:00+02:00;2018-08-31T00:00:00+02:00;Reims;Zone B;2017-2018
Vacances d'Été;Élèves;2018-07-07T00:00:00+02:00;2018-09-03T00:00:00+02:00;Paris;Zone C;2017-2018
Vacances d'Été;Enseignants;2018-07-07T00:00:00+02:00;2018-08-31T00:00:00+02:00;Versailles;Zone C;2017-2018
Vacances d'Hiver austral;Enseignants;2018-07-07T00:00:00+02:00;2019-04-08T01:00:00+02:00;Réunion;Réunion;2017-2018
Vacances d'Été;Enseignants;2018-07-10T00:00:00+02:00;2018-09-04T00:00:00+02:00;Corse;Corse;2017-2018
Vacances 3ème période;-;2018-08-11T00:00:00+02:00;2018-08-27T00:00:00+02:00;Wallis et Futuna;Wallis et Futuna;2018
Vacances de la Toussaint;-;2018-10-20T00:00:00+02:00;2018-11-05T00:00:00+01:00;Grenoble;Zone A;2018-2019
Vacances de la Toussaint;-;2018-10-20T00:00:00+02:00;2018-11-05T00:00:00+01:00;Caen;Zone B;2018-2019
Vacances de la Toussaint;-;2018-10-20T00:00:00+02:00;2018-11-05T00:00:00+01:00;Lille;Zone B;2018-2019
Vacances de la Toussaint;-;2018-10-20T00:00:00+02:00;2018-11-05T00:00:00+01:00;Nancy-Metz;Zone B;2018-2019
Vacances de la Toussaint;-;2018-10-20T00:00:00+02:00;2018-11-05T00:00:00+01:00;Nantes;Zone B;2018-2019
Vacances de la Toussaint;-;2018-10-20T00:00:00+02:00;2018-11-05T00:00:00+01:00;Rennes;Zone B;2018-2019
Vacances de la Toussaint;-;2018-10-20T00:00:00+02:00;2018-11-05T00:00:00+01:00;Paris;Zone C;2018-2019
Vacances de la Toussaint;-;2018-10-20T00:00:00+02:00;2018-11-05T00:00:00+01:00;Toulouse;Zone C;2018-2019
Vacances de la Toussaint;-;2018-10-20T00:00:00+02:00;2018-11-05T00:00:00+01:00;Martinique;Martinique;2018-2019
Vacances de Novembre;-;2018-10-27T00:00:00+02:00;2018-11-12T00:00:00+01:00;Polynésie;Polynésie;2018-2019
Vacances d'Été;Enseignants;2018-12-15T00:00:00+01:00;2019-02-08T00:00:00+01:00;Wallis et Futuna;Wallis et Futuna;2018
Vacances de Noël;-;2018-12-22T00:00:00+01:00;2019-01-07T00:00:00+01:00;Dijon;Zone A;2018-2019
Vacances de Noël;-;2018-12-22T00:00:00+01:00;2019-01-07T00:00:00+01:00;Lyon;Zone A;2018-2019
Vacances de Noël;-;2018-12-22T00:00:00+01:00;2019-01-07T00:00:00+01:00;Aix-Marseille;Zone B;2018-2019
Vacances de Noël;-;2018-12-22T00:00:00+01:00;2019-01-07T00:00:00+01:00;Amiens;Zone B;2018-2019
Vacances de Noël;-;2018-12-22T00:00:00+01:00;2019-01-07T00:00:00+01:00;Créteil;Zone C;2018-2019
Vacances de Noël;-;2018-12-22T00:00:00+01:00;2019-01-07T00:00:00+01:00;Martinique;Martinique;2018-2019
Vacances après 1ère période;-;2019-01-10T00:00:00+01:00;2018-10-29T00:00:00+01:00;Réunion;Réunion;2018-2019
Vacances d'Hiver;-;2019-02-09T00:00:00+01:00;2019-02-25T00:00:00+01:00;Caen;Zone B;2018-2019
